date,tobs,tmax,tmin,tavg,precip_accum,swe,solar_ins,solar_short,flow,albedo,snowcover,cloudcover
6/4/2000,10.8,19.5,9.7,14.8,38.2,0,477.6335754,375.4537964,238.94,0.3225,0,0
6/5/2000,14.6,21.1,11.1,16,38.2,0,478.1515808,361.4546814,238.89,0.3375,2.272,48.10996564
6/6/2000,14.8,22.3,12.7,17.2,38.2,0,478.6405945,366.9289246,232.75,0.336,1.977,99.31271478
6/7/2000,14.4,21.4,12.4,16.3,38.2,0,479.1012878,368.8808289,221.39,0.3345,1.682,69.75945017
6/8/2000,14.8,22.9,13,17.4,38.2,0,479.5144348,249.7137909,217.73,0.333,0,0
6/9/2000,7,18.6,6.8,13.8,38.2,0,479.9044495,249.5116577,186.55,0.3315,0.2785,100
6/10/2000,3.7,8.9,1.3,5.1,38.2,0,480.3150635,332.1234741,171.76,0.33,0.557,9.278350515
6/11/2000,9.2,15.7,3.6,10,38.2,0,480.6173401,357.1321106,176.73,0.326865672,0,0
6/12/2000,12.5,17.4,6.4,12.4,38.2,0,480.8192139,283.8239136,174.32,0.323731343,0,21.30584192
6/13/2000,6.5,16,6.5,12,38.2,0,481.0789795,354.3557129,172.52,0.320597015,0,0
6/14/2000,6.5,11.6,4.4,8,38.2,0,481.3366699,373.8537292,168.66,0.317462687,0,90.72164948
6/15/2000,12.6,16.7,5.2,11.6,38.2,0,481.5717468,375.3588257,162.45,0.314328358,8.214,80.75601375
6/16/2000,6.3,14.8,6.3,12,38.2,0,481.6928711,368.453186,150.011,0.31119403,4,97.25085911
6/17/2000,2.2,10.1,2.2,5.9,38.2,0,481.7356262,378.1747131,124,0.308059701,0,0
6/18/2000,10.2,15.5,1.8,9.6,38.2,0,481.7090149,137.1942902,119.48,0.304925373,0,0
6/19/2000,8.2,15.2,6.8,10.3,38.5,0,481.743927,181.9922943,118.25,0.301791045,0,4.467353952
6/20/2000,4.9,12.4,4.9,8.6,38.5,0,481.7219543,336.1081238,112,0.298656716,0,0
6/21/2000,9.5,13.3,0.5,7.7,38.5,0,481.6808777,377.2519836,108.16,0.295522388,0,0
6/22/2000,11.9,18.3,6.9,13,38.5,0,481.662384,348.4968872,101.92,0.29238806,0.008,8.591065292
6/23/2000,13.5,21.2,11.1,16.2,38.5,0,481.5385437,325.6386108,99.78,0.289253731,0.005333333,96.56357388
6/24/2000,11.3,20.1,11.3,15.6,38.5,0,481.3214111,318.3917542,99.38,0.286119403,0.002666667,0
6/25/2000,12.3,19.8,10.9,14.9,38.5,0,480.9917908,278.8669434,98.84,0.282985075,0,4.467353952
6/26/2000,10.9,19,10.3,13.7,38.5,0,480.6440125,233.8265686,95.77,0.279850746,0,0
6/27/2000,10.2,18.9,10.2,13.3,38.5,0,480.3201599,337.3776245,87,0.276716418,0,100
6/28/2000,10.5,19.1,9.2,14.2,38.5,0,479.9779053,361.3056641,80.15,0.27358209,0,0
6/29/2000,13.2,21.1,10.7,16.1,38.5,0,479.6455994,370.9721985,76.97,0.270447761,0,0
6/30/2000,13.4,21.4,12.5,16.7,38.5,0,479.3502197,231.8902435,71.9,0.267313433,0,0
7/1/2000,13.2,20.5,8.1,14.3,38.6,0,479.0352783,306.6296692,72.26,0.264179104,0,0
7/2/2000,14.6,21.6,11.4,16.1,38.6,0,478.6520691,364.2311096,71.14,0.261044776,0,0
7/3/2000,13.8,21.5,12.8,16.6,38.6,0,478.1829834,344.5815125,68.32,0.257910448,0,0
7/4/2000,7.8,19.3,7.5,13.5,38.6,0,477.6556702,368.0252991,60.55,0.254776119,0,0
7/5/2000,11.7,18,7.3,13,38.6,0,477.0334778,384.2641602,51.31,0.251641791,0,77.66323024
7/6/2000,12.5,20.8,9.9,15.1,38.6,0,476.3717346,381.1229858,54.34,0.248507463,0,77.66323024
7/7/2000,13.2,20,10.4,14.9,38.6,0,475.7301941,371.535675,52.29,0.245373134,0,92.09621993
7/8/2000,13.2,21.4,10,15.9,38.6,0,475.0156555,232.6250916,66,0.242238806,0,2.06185567
7/9/2000,12.4,18.5,11.9,14.6,38.8,0,474.3521729,293.7999878,52.36,0.239104478,0,0
7/10/2000,10.5,20,8.5,14.7,38.8,0,473.5969543,245.3927155,33.35,0.235970149,0,0
7/11/2000,10.6,18.2,7.9,12.5,39,0,472.7999268,354.3497925,36.46,0.232835821,0,22.68041237
7/12/2000,14.6,21.6,10.4,15.7,39,0,472.0170898,345.8166809,40.78,0.229701493,0,96.56357388
7/13/2000,16.3,24.4,13,18.8,39,0,471.2366028,354.258667,41.19,0.226567164,0,0
7/14/2000,17.5,24.9,14.8,19.5,39,0,470.4477234,316.6155396,35.57,0.223432836,0,5.154639175
7/15/2000,16.7,25.7,16,19.9,39,0,469.6038513,243.8638763,39.72,0.220298507,0,12.37113402
7/16/2000,15.6,24.5,14.6,18,39,0,468.6423645,264.0193481,39.91,0.217164179,0,3.780068729
7/17/2000,NA,25.2,10.6,17.1,39.3,0,467.6336365,298.7829285,34.74,0.214029851,0,0
7/18/2000,11.8,23.2,11.8,17.4,39.3,0,466.5493164,342.2392883,34.65,0.210895522,0,0
7/19/2000,13.8,20.7,9.7,15.5,39.3,0,465.400238,359.5987244,34.2,0.207761194,0,0
7/20/2000,14,22,11.6,16.8,39.3,0,464.1808777,361.1445007,33.44,0.204626866,0,0
7/21/2000,16.1,23.7,13.1,18.3,39.3,0,462.9915771,362.1807861,31.68,0.201492537,0,1.718213058
7/22/2000,NA,24.7,13.9,19,39.3,0,461.9059143,348.2112732,30.48,0.198358209,0,22.68041237
7/23/2000,19.5,27.2,15.1,21,39.3,0,460.7444763,333.2588806,29.08,0.195223881,0,0
7/24/2000,18.6,26.3,16.6,21.1,39.3,0,459.5461426,317.5360107,28.54,0.192089552,0,0
7/25/2000,16.5,23.9,14.3,19.2,39.3,0,458.2660828,255.4694519,21.57,0.188955224,0,32.98969072
7/26/2000,16.6,24.1,15.6,18.7,39.3,0,456.9985352,290.142395,27.33,0.185820896,0,16.49484536
7/27/2000,17.5,25.6,16.3,20.3,39.3,0,455.6917725,338.2827759,27.34,0.182686567,0,0
7/28/2000,18.1,25.1,14.5,19.8,39.3,0,454.2794189,299.3156128,26.4,0.179552239,0,28.86597938
7/29/2000,18.3,26.2,15.2,20.3,39.3,0,452.8465271,291.3868103,25.93,0.17641791,0,0
7/30/2000,18.2,27.4,16.1,21.5,39.3,0,451.4051208,301.1160278,25.13,0.173283582,0,0
7/31/2000,20,28.2,17.6,22.5,39.3,0,449.9125061,287.2027588,24.74,0.170149254,0,32.64604811
8/1/2000,20.7,27.4,18.5,22.5,39.3,0,448.3330383,249.4590759,29.4,0.167014925,0,0.343642612
8/2/2000,18.8,28.9,17.4,21.7,39.3,0,446.7172852,239.3146973,30.3,0.163880597,0,0
8/3/2000,16.8,26.8,16.8,21.2,39.3,0,445.0750427,243.1204987,32.4,0.160746269,0,100
8/4/2000,14.6,25.1,13.8,19.3,39.4,0,443.4215088,262.7851563,38.2,0.15761194,0,35.395189
8/5/2000,13.4,21.9,9.8,15.9,39.6,0,441.7063293,283.1806335,39.3,0.154477612,0,0
8/6/2000,14.3,21.4,12.4,16.6,39.6,0,439.9597473,314.4291992,38,0.151343284,0,0
8/7/2000,16,24.3,12.2,17.5,39.6,0,438.1280518,297.1381531,36.8,0.148208955,0,52.9209622
8/8/2000,15.4,24.4,14.1,18.8,39.6,0,436.2815857,265.8761597,35.7,0.145074627,0,35.05154639
8/9/2000,16.5,24.4,14,18,39.6,0,434.4243164,247.0290527,34.8,0.141940299,0.21,18.21305842
8/10/2000,15.7,23.7,14.5,18.2,39.6,0,432.5974121,228.05159,32.6,0.13880597,0,78.69415808
8/11/2000,17.4,24.4,15.1,18.9,39.6,0,430.7232361,313.9562073,33.4,0.135671642,0.333,79.3814433
8/12/2000,16.3,23.5,13.3,18.1,39.6,0,428.8513184,328.8480225,32.5,0.132537313,0.275,100
8/13/2000,17.2,24.9,14.5,19.5,39.6,0,426.8641052,316.5116577,31.6,0.129402985,0.217,20.96219931
8/14/2000,15.3,24.6,15.1,19.7,39.6,0,424.7463684,301.4577637,31,0.126268657,2.853,100
8/15/2000,17,25.4,14.4,19.5,39.6,0,422.5549011,213.9176331,28.8,0.123134328,5.489,96.56357388
8/16/2000,14,23.9,10.3,16.3,39.8,0,420.3791504,243.8033905,30.5,0.12,8.125,97.25085911
8/17/2000,13.8,22.1,12.5,16.2,39.8,0,418.2358398,248.4003601,29.1,0.13116,0.613,78.69415808
8/18/2000,12.9,22,12.9,16.3,39.8,0,416.0705261,226.1375732,29.2,0.14232,0,0
8/19/2000,12.6,21.6,7.2,13.9,40.3,0,413.8843079,272.8929443,15.5,0.15348,0,0
8/20/2000,12.5,20.5,11.6,15,40.3,0,411.621582,318.9891968,28.2,0.16464,0,0
8/21/2000,12.5,20,9.4,14.9,40.3,0,409.2504578,319.5316772,27.3,0.1758,0,0
8/22/2000,14.9,20.8,12.4,16.1,40.3,0,406.8197937,243.8478088,26.4,0.18696,0,11.34020619
8/23/2000,14.9,21.9,12.6,16.1,40.3,0,404.3685608,164.4689484,26.2,0.19812,0.228,48.79725086
8/24/2000,12.5,20.3,10.9,14.1,40.5,0,401.9415283,256.9779968,25.4,0.20928,0,95.53264605
8/25/2000,13.2,20.6,9.9,15,40.5,0,399.4965515,195.519928,24.5,0.22044,0.12,59.79381443
8/26/2000,12.4,19.7,12.4,15.2,40.5,0,396.9733582,180.5020752,21.1,0.2316,0,0
8/27/2000,9.3,16.7,8.7,12.5,41,0,394.4187317,223.7735901,18,0.24276,0,0
8/28/2000,12.1,18.3,9.3,13.4,41,0,391.8443604,225.1212158,23.2,0.25392,0,0
